cores,vera
1,107.02878785133362
2,53.859501123428345
3,35.636059045791626
4,27.349483966827393
5,22.202677965164185
6,18.114872932434082
7,15.639014959335327
8,14.596781969070435
9,13.286469936370850
10,12.158432960510254
11,11.186756134033203
12,10.572692155838013
13,9.6652948856353760
14,9.0611159801483154
15,8.5534729957580566
16,8.1887450218200684
17,7.7112281322479248
18,7.4010231494903564
19,6.9819438457489014
20,6.6370589733123779
21,6.8646109104156494
22,6.2711329460144043
23,6.1655778884887695
24,5.8772580623626709
25,5.8836488723754883
26,5.6441819667816162
27,5.6804680824279785
28,5.4561159610748291
29,5.4959290027618408
30,5.4041831493377686
31,5.0695719718933105
32,5.0672850608825684
33,5.0344941616058350
34,4.9774930477142334
35,4.7908229827880859
36,4.7489910125732422
37,4.7457180023193359
38,4.6800739765167236
39,4.6320819854736328
40,4.5643699169158936
41,4.5200459957122803
42,4.5254669189453125
43,4.4838719367980957
44,4.5621259212493896
45,4.4123511314392090
46,4.3863980770111084
47,4.4204950332641602
48,4.4602401256561279
49,4.4057919979095459
50,4.2788181304931641
51,4.3349449634552002
52,4.2197401523590088
53,4.2284221649169922
54,4.2591419219970703
55,4.1839940547943115
56,4.1745100021362305
57,4.1728169918060303
58,4.2508540153503418
59,4.1437768936157227
60,4.1618280410766602
61,4.1366169452667236
62,4.1267778873443604
63,4.2105169296264648
64,4.1068990230560303
65,4.1283490657806396
66,4.1295030117034912
67,4.1161391735076904
68,4.0615460872650146
69,4.1039969921112061
70,4.0847358703613281
71,4.0719351768493652
72,4.1066780090332031
73,4.0648500919342041
74,4.0953140258789062
75,4.0763919353485107
76,4.0376548767089844
77,4.0595469474792480
78,4.0696558952331543
79,4.1660249233245850
80,4.0284709930419922
81,4.0149550437927246
82,4.0432698726654053
83,4.0822939872741699
84,4.0397970676422119
85,4.0870058536529541
86,4.0315921306610107
87,4.0466911792755127
88,4.0798919200897217
