arch,placement,cores,triad_gbps
vera,sequential,41,1082.2738
vera,sequential,42,1088.9917
vera,sequential,43,1084.6955
vera,sequential,44,1093.322
vera,sequential,45,1089.3137
vera,sequential,46,1096.9026999999999
vera,sequential,47,1098.0141
vera,sequential,48,1093.3869
vera,sequential,49,1090.3453
vera,sequential,50,1091.1849
vera,sequential,51,1096.0542
vera,sequential,52,1090.0872
vera,sequential,53,1084.6955
vera,sequential,54,1097.7523999999999
vera,sequential,55,1093.9063999999998
vera,sequential,56,1092.0258000000001
vera,sequential,57,1090.0872
vera,sequential,58,1088.4769
vera,sequential,59,1092.2848000000001
vera,sequential,60,1081.7654
vera,sequential,61,1086.8714
vera,sequential,62,1087.128
vera,sequential,63,1096.6415
vera,sequential,64,1092.0258000000001
vera,sequential,65,1093.322
vera,sequential,66,1092.0258000000001
vera,sequential,67,1091.1849
vera,sequential,68,1092.2848000000001
vera,sequential,69,1095.8586
vera,sequential,70,1094.1663
vera,sequential,71,1082.0196
vera,sequential,72,1085.5264
vera,sequential,73,1083.6745
vera,sequential,74,1083.1011
vera,sequential,75,1093.0626000000002
vera,sequential,76,1085.5264
vera,sequential,77,1088.2196999999999
vera,sequential,78,1089.3137
vera,sequential,79,1090.9263999999998
vera,sequential,80,1091.1849
vera,sequential,81,1090.3453
vera,sequential,82,1079.6731000000002
vera,sequential,83,1086.8714
vera,sequential,84,1083.4196000000002
vera,sequential,85,1075.45
vera,sequential,86,1086.1024
vera,sequential,87,1087.3846
vera,sequential,88,1085.0149
vera,round-robin,1,69.5774
vera,round-robin,2,138.869
vera,round-robin,3,207.6608
vera,round-robin,4,276.88840000000005
vera,round-robin,5,342.1632
vera,round-robin,6,407.9589
vera,round-robin,7,474.04490000000004
vera,round-robin,8,541.3436999999999
vera,round-robin,9,609.6566
vera,round-robin,10,664.049
vera,round-robin,11,701.3661999999999
vera,round-robin,12,725.4512
vera,round-robin,13,702.838
vera,round-robin,14,734.9445
vera,round-robin,15,796.6693
vera,round-robin,16,809.1265
vera,round-robin,17,835.778
vera,round-robin,18,863.7183
vera,round-robin,19,873.5066999999999
vera,round-robin,20,886.1973
vera,round-robin,21,905.5391999999999
vera,round-robin,22,915.9399000000001
vera,round-robin,23,934.9058
vera,round-robin,24,943.7184
vera,round-robin,25,945.9476
vera,round-robin,26,965.2789
vera,round-robin,27,977.2616999999999
vera,round-robin,28,975.6055
vera,round-robin,29,991.6765
vera,round-robin,30,995.2125
vera,round-robin,31,1018.0935
vera,round-robin,32,1027.1191999999999
vera,round-robin,33,1032.4151
vera,round-robin,34,1040.9914
vera,round-robin,35,1051.2088
vera,round-robin,36,1054.5185
vera,round-robin,37,1074.0705
vera,round-robin,38,1067.0403000000001
vera,round-robin,39,1079.6731000000002
vera,round-robin,40,1084.6955
vera,round-robin,41,1091.7022
vera,round-robin,42,1090.0872
vera,round-robin,43,1095.0118
vera,round-robin,44,1098.276
vera,round-robin,45,1101.033
vera,round-robin,46,1095.5327
vera,round-robin,47,1101.2963
vera,round-robin,48,1098.0141
vera,round-robin,49,1090.6035
vera,round-robin,50,1087.6414
vera,round-robin,51,1101.2963
vera,round-robin,52,1099.6528
vera,round-robin,53,1102.6807
vera,round-robin,54,1099.9153999999999
vera,round-robin,55,1095.8586
vera,round-robin,56,1094.1663
vera,round-robin,57,1094.4263
vera,round-robin,58,1094.4263
vera,round-robin,59,1090.3453
vera,round-robin,60,1096.3804
vera,round-robin,61,1096.6415
vera,round-robin,62,1095.5327
vera,round-robin,63,1097.4253999999999
vera,round-robin,64,1093.322
vera,round-robin,65,1093.0626000000002
vera,round-robin,66,1091.4435
vera,round-robin,67,1096.3151
vera,round-robin,68,1094.1663
vera,round-robin,69,1098.538
vera,round-robin,70,1096.3151
vera,round-robin,71,1082.3374
vera,round-robin,72,1088.7341999999999
vera,round-robin,73,1087.9626
vera,round-robin,74,1084.7593
vera,round-robin,75,1091.4435
vera,round-robin,76,1080.6866
vera,round-robin,77,1091.9611
vera,round-robin,78,1091.7668999999999
vera,round-robin,79,1093.9063999999998
vera,round-robin,80,1087.6414
vera,round-robin,81,1089.5713999999998
vera,round-robin,82,1078.3458999999998
vera,round-robin,83,1082.0196
vera,round-robin,84,1080.1796000000002
vera,round-robin,85,1080.9402
vera,round-robin,86,1085.2706
vera,round-robin,87,1082.8464
vera,round-robin,88,1079.6731000000002
turin-9r45,sequential,1,43.414
turin-9r45,sequential,2,48.106300000000005
turin-9r45,sequential,3,50.864
turin-9r45,sequential,4,52.0619
turin-9r45,sequential,5,52.4335
turin-9r45,sequential,6,52.7995
turin-9r45,sequential,7,53.4433
turin-9r45,sequential,8,53.7801
turin-9r45,sequential,9,60.1996
turin-9r45,sequential,10,66.55969999999999
turin-9r45,sequential,11,72.843
turin-9r45,sequential,12,79.103
turin-9r45,sequential,13,85.38669999999999
turin-9r45,sequential,14,91.4409
turin-9r45,sequential,15,97.51010000000001
turin-9r45,sequential,16,103.2303
turin-9r45,sequential,17,108.7268
turin-9r45,sequential,18,113.30839999999999
turin-9r45,sequential,19,117.393
turin-9r45,sequential,20,122.2942
turin-9r45,sequential,21,125.932
turin-9r45,sequential,22,129.9172
turin-9r45,sequential,23,134.04170000000002
turin-9r45,sequential,24,138.2456
turin-9r45,sequential,25,143.28289999999998
turin-9r45,sequential,26,147.8771
turin-9r45,sequential,27,152.6839
turin-9r45,sequential,28,157.4435
turin-9r45,sequential,29,161.9077
turin-9r45,sequential,30,166.3176
turin-9r45,sequential,31,170.8437
turin-9r45,sequential,32,175.3414
turin-9r45,sequential,33,179.6368
turin-9r45,sequential,34,183.4684
turin-9r45,sequential,35,187.64520000000002
turin-9r45,sequential,36,191.7107
turin-9r45,sequential,37,195.2094
turin-9r45,sequential,38,199.179
turin-9r45,sequential,39,202.8793
turin-9r45,sequential,40,206.405
turin-9r45,sequential,41,210.33339999999998
turin-9r45,sequential,42,213.8799
turin-9r45,sequential,43,217.58520000000001
turin-9r45,sequential,44,220.9063
turin-9r45,sequential,45,224.2167
turin-9r45,sequential,46,227.40370000000001
turin-9r45,sequential,47,230.756
turin-9r45,sequential,48,234.1573
turin-9r45,sequential,49,237.4023
turin-9r45,sequential,50,240.17839999999998
turin-9r45,sequential,51,243.582
turin-9r45,sequential,52,247.2848
turin-9r45,sequential,53,249.6407
turin-9r45,sequential,54,253.0267
turin-9r45,sequential,55,255.738
turin-9r45,sequential,56,259.68
turin-9r45,sequential,57,261.5035
turin-9r45,sequential,58,264.64140000000003
turin-9r45,sequential,59,269.228
turin-9r45,sequential,60,271.17040000000003
turin-9r45,sequential,61,273.4827
turin-9r45,sequential,62,275.8609
turin-9r45,sequential,63,277.726
turin-9r45,sequential,64,281.5172
turin-9r45,sequential,65,283.5111
turin-9r45,sequential,66,285.7663
turin-9r45,sequential,67,288.9335
turin-9r45,sequential,68,290.63079999999997
turin-9r45,sequential,69,291.418
turin-9r45,sequential,70,294.8536
turin-9r45,sequential,71,296.6776
turin-9r45,sequential,72,299.3109
turin-9r45,sequential,73,301.9062
turin-9r45,sequential,74,302.6026
turin-9r45,sequential,75,304.4055
turin-9r45,sequential,76,305.7926
turin-9r45,sequential,77,306.484
turin-9r45,sequential,78,308.7128
turin-9r45,sequential,79,309.95509999999996
turin-9r45,sequential,80,311.1075
turin-9r45,sequential,81,314.0287
turin-9r45,sequential,82,315.5442
turin-9r45,sequential,83,315.9757
turin-9r45,sequential,84,317.6739
turin-9r45,sequential,85,318.9895
turin-9r45,sequential,86,322.6592
turin-9r45,sequential,87,320.7607
turin-9r45,sequential,88,321.8472
turin-9r45,sequential,89,323.4188
turin-9r45,sequential,90,322.9821
turin-9r45,sequential,91,324.3215
turin-9r45,sequential,92,328.6354
turin-9r45,sequential,93,325.3438
turin-9r45,sequential,94,326.6189
turin-9r45,sequential,95,327.5027
turin-9r45,sequential,96,328.9491
turin-9r45,round-robin,1,43.641400000000004
turin-9r45,round-robin,2,83.8626
turin-9r45,round-robin,3,121.11489999999999
turin-9r45,round-robin,4,157.6791
turin-9r45,round-robin,5,189.612
turin-9r45,round-robin,6,217.3015
turin-9r45,round-robin,7,241.7719
turin-9r45,round-robin,8,264.2699
turin-9r45,round-robin,9,285.61379999999997
turin-9r45,round-robin,10,303.0355
turin-9r45,round-robin,11,317.0102
turin-9r45,round-robin,12,324.06309999999996
turin-9r45,round-robin,13,240.96679999999998
turin-9r45,round-robin,14,255.09
turin-9r45,round-robin,15,258.1045
turin-9r45,round-robin,16,272.1904
turin-9r45,round-robin,17,281.36920000000003
turin-9r45,round-robin,18,289.69509999999997
turin-9r45,round-robin,19,300.1858
turin-9r45,round-robin,20,309.201
turin-9r45,round-robin,21,315.80890000000005
turin-9r45,round-robin,22,322.22970000000004
turin-9r45,round-robin,23,326.3358
turin-9r45,round-robin,24,329.97929999999997
turin-9r45,round-robin,25,277.39259999999996
turin-9r45,round-robin,26,285.8828
turin-9r45,round-robin,27,286.879
turin-9r45,round-robin,28,295.4276
turin-9r45,round-robin,29,302.33709999999996
turin-9r45,round-robin,30,308.2215
turin-9r45,round-robin,31,315.0895
turin-9r45,round-robin,32,320.7658
turin-9r45,round-robin,33,324.9538
turin-9r45,round-robin,34,330.2902
turin-9r45,round-robin,35,332.9674
turin-9r45,round-robin,36,335.87129999999996
turin-9r45,round-robin,37,293.08979999999997
turin-9r45,round-robin,38,299.3902
turin-9r45,round-robin,39,302.3956
turin-9r45,round-robin,40,307.42
turin-9r45,round-robin,41,312.9798
turin-9r45,round-robin,42,317.4259
turin-9r45,round-robin,43,318.2157
turin-9r45,round-robin,44,325.7607
turin-9r45,round-robin,45,324.627
turin-9r45,round-robin,46,331.9401
turin-9r45,round-robin,47,333.8804
turin-9r45,round-robin,48,335.2898
turin-9r45,round-robin,49,304.50579999999997
turin-9r45,round-robin,50,305.0769
turin-9r45,round-robin,51,309.3986
turin-9r45,round-robin,52,313.6847
turin-9r45,round-robin,53,316.9657
turin-9r45,round-robin,54,320.2505
turin-9r45,round-robin,55,322.8078
turin-9r45,round-robin,56,326.4616
turin-9r45,round-robin,57,324.5855
turin-9r45,round-robin,58,324.6114
turin-9r45,round-robin,59,332.8747
turin-9r45,round-robin,60,334.4846
turin-9r45,round-robin,61,307.22490000000005
turin-9r45,round-robin,62,307.499
turin-9r45,round-robin,63,313.13890000000004
turin-9r45,round-robin,64,312.73429999999996
turin-9r45,round-robin,65,315.0944
turin-9r45,round-robin,66,321.8268
turin-9r45,round-robin,67,324.7825
turin-9r45,round-robin,68,322.8539
turin-9r45,round-robin,69,325.2189
turin-9r45,round-robin,70,327.1707
turin-9r45,round-robin,71,328.4125
turin-9r45,round-robin,72,333.74890000000005
turin-9r45,round-robin,73,308.086
turin-9r45,round-robin,74,311.5269
turin-9r45,round-robin,75,312.1486
turin-9r45,round-robin,76,314.7237
turin-9r45,round-robin,77,320.4423
turin-9r45,round-robin,78,319.95820000000003
turin-9r45,round-robin,79,322.9206
turin-9r45,round-robin,80,324.51820000000004
turin-9r45,round-robin,81,326.3515
turin-9r45,round-robin,82,330.876
turin-9r45,round-robin,83,332.1895
turin-9r45,round-robin,84,332.8965
turin-9r45,round-robin,85,315.461
turin-9r45,round-robin,86,313.6847
turin-9r45,round-robin,87,317.4011
turin-9r45,round-robin,88,314.8651
turin-9r45,round-robin,89,318.42
turin-9r45,round-robin,90,320.2303
turin-9r45,round-robin,91,322.1481
turin-9r45,round-robin,92,322.94109999999995
turin-9r45,round-robin,93,328.8108
turin-9r45,round-robin,94,321.0798
turin-9r45,round-robin,95,327.48159999999996
turin-9r45,round-robin,96,328.23220000000003
gnr,sequential,1,18.822200000000002
gnr,sequential,2,36.5593
gnr,sequential,3,51.788
gnr,sequential,4,67.218
gnr,sequential,5,81.6899
gnr,sequential,6,92.4627
gnr,sequential,7,102.88510000000001
gnr,sequential,8,111.103
gnr,sequential,9,117.2072
gnr,sequential,10,121.2266
gnr,sequential,11,134.8915
gnr,sequential,12,153.9446
gnr,sequential,13,163.951
gnr,sequential,14,168.6141
gnr,sequential,15,171.4089
gnr,sequential,16,173.0471
gnr,sequential,17,172.9127
gnr,sequential,18,174.9145
gnr,sequential,19,173.2599
gnr,sequential,20,174.9845
gnr,sequential,21,174.8325
gnr,sequential,22,171.0264
gnr,sequential,23,171.8374
gnr,sequential,24,174.9435
gnr,sequential,25,174.8735
gnr,sequential,26,170.5343
gnr,sequential,27,174.2632
gnr,sequential,28,175.1573
gnr,sequential,29,174.1986
gnr,sequential,30,174.9736
gnr,sequential,31,174.8735
gnr,sequential,32,175.4419
gnr,sequential,33,180.8284
gnr,sequential,34,185.2212
gnr,sequential,35,191.3679
gnr,sequential,36,198.0493
gnr,sequential,37,202.8918
gnr,sequential,38,208.2279
gnr,sequential,39,214.0814
gnr,sequential,40,220.4881
