kernel,cores,mops,runtime_s
bt,72,405526.79,143.85
cg,72,33756.52,107.92
ep,72,13293.14,10.34
ft,72,185640.69,48.29
is,72,8371.74,2.57
lu,72,366775.15,108.78
mg,72,135834.13,22.92
sp,72,151627.11,194.79
ua,72,901.53,192.77
