cores,turin
1,142.03585195541382
2,85.688376903533936
3,74.451010942459106
4,70.855912923812866
5,68.825854063034058
6,67.842483997344971
7,67.169988870620728
8,66.695899963378906
9,59.499579906463623
10,53.758090972900391
11,49.053867101669312
12,45.144527912139893
13,41.846282005310059
14,39.000264167785645
15,36.517420053482056
16,34.474599123001099
17,32.721717119216919
18,31.406305074691772
19,30.176860094070435
20,29.055434942245483
21,28.110076904296875
22,27.232254028320312
23,26.379321098327637
24,25.679513216018677
25,24.816804885864258
26,23.957976102828979
27,23.231523036956787
28,22.515296936035156
29,21.865149974822998
30,21.216378927230835
31,20.669494152069092
32,20.100598812103271
33,19.654401063919067
34,19.170538902282715
35,18.762277126312256
36,18.367899179458618
37,17.977058887481689
38,17.601721048355103
39,17.300728082656860
40,16.930379867553711
41,16.661185026168823
42,16.371675014495850
43,16.082337141036987
44,15.834410905838013
45,15.559782028198242
46,15.328609943389893
47,15.080574989318848
48,14.814732074737549
49,14.634136915206909
50,14.415975093841553
51,14.237802982330322
52,14.019708871841431
53,13.892805099487305
54,13.704724073410034
55,13.513721942901611
56,13.393898010253906
57,13.229693889617920
58,13.094082117080688
59,12.921368837356567
60,12.757650852203369
61,12.647022962570190
62,12.521935939788818
63,12.403349161148071
64,12.286417961120605
65,12.194206953048706
66,12.130357980728149
67,12.032727956771851
68,11.926493167877197
69,11.823175191879272
70,11.723042011260986
71,11.665000915527344
72,11.614528894424438
73,11.476107120513916
74,11.383744955062866
75,11.360194921493530
76,11.300732851028442
77,11.207785844802856
78,11.201117992401123
79,11.137189865112305
80,11.038125038146973
81,11.008599042892456
82,10.927871942520142
83,10.938865900039673
84,10.859801054000854
85,10.845098972320557
86,10.795135021209717
87,10.784940004348755
88,10.747695922851562
89,10.678718090057373
90,10.646471977233887
91,10.647443056106567
92,10.600592851638794
93,10.622221946716309
94,10.553193092346191
95,10.568861007690430
96,10.493947029113770
